plateifu,mangaid,z,Lambda_Re,lambda_r,Sigma_Re,Re_arcsec_MGE,Qual,drp3qual,target,log_Ms_Re_cyl,log_Mt_Re_cyl,fdm_Re_cyl,chi2_dof_cyl,inc_deg_cyl,log_excess,log_Ms_Re_sph,log_Mt_Re_sph,fdm_Re_sph,chi2_dof_sph,inc_deg_sph,log_excess_sph,nsa_elpetro_mass,PHOTOMETRIC_MASS,STELLAR_SIGMA_1RE,STELLAR_RCHI2_1RE,drp_nsa_elpetro_ba,drp_nsa_elpetro_th50_r,drp_mngtarg1,Re_kpc,rar_resid,rar_resid_sph,rar_resid_nsa,rar_resid_firefly,mass_tertile
7443-12704,12-84731,0.0187385,0.682,0.682,84.1,13.045278602839256,3,1,0,10.388,10.389,0.0,0.022805,78.343,0.0009999999999994,10.373,10.373,0.0,0.022248,78.421,0.0,9.86569014305721,10.203231,67.25098,0.91375524,0.320899,18.3902,8192,5.131904956752104,0.04308475491340782,0.05808475491340836,0.5653946118561981,0.2278537549134072,Mid
7443-6102,12-180432,0.0280161,0.613,0.613,105.7,7.328079918394733,3,1,0,10.447,10.555,0.219,0.018821,53.23,0.1080000000000005,10.427,10.556,0.256,0.018795,53.101,0.1289999999999995,10.18942293247014,10.526963,90.43372,1.0514778,0.718725,5.98851,1554,4.26183987347824,0.16066683575353233,0.18066683575353198,0.41824390328339084,0.08070383575353125,Mid
7443-12701,12-98126,0.020478,0.619,0.619,68.2,4.756027813742085,1,1,0,9.659,9.796,0.269,0.024092,49.098,0.1369999999999986,9.692,9.796,0.213,0.02385,49.099,0.1039999999999992,9.693127842476637,10.030668,63.785557,1.0967585,0.743017,4.26193,1562,2.0403419486382814,0.3255565787351025,0.292556578735103,0.2914287362584668,-0.04611142126489714,Low
7443-12705,12-84627,0.0644735,0.879,0.879,126.3,6.627033566327212,3,1,0,10.916,10.92,0.008,0.037805,66.102,0.0039999999999995,10.913,10.92,0.014,0.03733,66.183,0.0069999999999996,10.253388896228874,10.59093,70.29498,0.893336,0.481529,7.37167,4,8.491143704851218,-0.2277762700730053,-0.22477627007300524,0.4348348336981215,0.0972937299269948,High
7443-9102,12-84679,0.091575,0.156,0.156,280.0,5.503146775674609,1,1,0,11.585,11.623,0.082,0.022569,85.581,0.0379999999999984,11.606,11.621,0.031,0.041869,85.581,0.0150000000000005,10.980842045684838,11.318382,283.12518,0.92089856,0.7511,4.95598,2,9.70202631430923,0.3712283546751917,0.35022835467519275,0.9753863089903545,0.6378463546751929,High
7495-1902,12-129608,0.0318073,0.722,0.722,68.5,2.207105871644795,1,1,0,9.534,9.652,0.238,0.046168,86.698,0.1179999999999985,9.702,9.702,0.002,0.04147,86.698,0.0,9.465290628445365,9.802832,59.13387,1.0728625,0.557985,2.45252,10,1.4506384999777566,0.23664071942983336,0.06864071942983414,0.30535009098446947,-0.03219128057016632,Low
7495-12702,12-129612,0.0284013,0.862,0.862,123.4,8.691379121208316,3,1,0,10.486,10.636,0.291,0.017054,80.842,0.1499999999999985,10.331,10.608,0.471,0.016802,80.857,0.277000000000001,10.184603427595148,10.522144,72.885414,0.9358357,0.290015,12.3368,1554,5.121813295771619,0.014113908694348472,0.16911390869434964,0.3155104810992013,-0.022030091305651738,Mid
7495-12704,12-129618,0.0289385,0.856,0.856,120.0,11.582086547667684,1,1,0,10.316,10.834,0.696,0.009851,59.022,0.5179999999999989,9.621,10.833,0.939,0.009309,59.022,1.2119999999999995,10.326327666615938,10.663868,74.40328,0.9089342,0.660855,10.6479,1050,6.94988213224897,0.33457051757791395,1.0295705175779144,0.3242428509619763,-0.013297482422086063,Mid
7495-3701,12-129446,0.0670065,0.73,0.73,123.3,5.652882214664313,3,1,0,10.991,11.069,0.164,0.029917,34.4,0.0780000000000011,11.048,11.049,0.004,0.029091,34.406,0.0009999999999994,10.588793667193723,10.926334,99.31317,0.93677926,0.860503,4.76389,10,7.5050512851724065,-0.0562237312384184,-0.11322373123841879,0.345982601567858,0.008442268761580586,High
7495-12701,12-192120,0.0612091,0.49,0.49,144.8,5.174617755982652,1,1,0,10.92,10.921,0.003,0.0527,30.104,0.0009999999999994,10.917,10.921,0.007,0.052655,30.147,0.0039999999999995,10.28078090284656,10.618321,145.82826,0.9911174,0.761878,11.2065,4,6.3188376139134865,0.2737294980140508,0.2767294980140509,0.9129485951674905,0.5754084980140508,High
7495-12703,12-129646,0.0298759,0.88,0.88,107.4,9.57305023256598,3,1,0,10.627,10.639,0.026,0.019884,62.974,0.0119999999999986,10.602,10.633,0.068,0.019411,62.81,0.0309999999999988,10.119348282530472,10.456889,53.695225,0.8920233,0.536654,10.7047,1170,5.923709334359543,-0.32912601102936034,-0.3041260110293601,0.17852570644016796,-0.15901501102935994,Mid
7495-6104,12-129534,0.029503,0.663,0.663,64.5,4.274138484753604,1,1,0,9.109,9.641,0.706,0.078781,77.866,0.532,9.22,9.648,0.627,0.078805,77.866,0.427999999999999,9.004880007240635,9.342421,29.92929,0.89982384,0.336896,6.33359,10,2.612961076841452,0.32573468473604766,0.21473468473604704,0.4298546774954129,0.0923136847360478,Low
7495-12705,12-129629,0.0762428,0.192,0.192,91.1,5.516665483218517,1,1,0,11.434,11.434,0.0,0.059889,2.566,0.0,11.427,11.457,0.066,0.059897,2.566,0.0300000000000011,10.45715948973154,10.7947,100.87998,0.9243247,0.832785,6.48566,4,8.243721530327871,-0.44485779647455315,-0.4378577964745535,0.5319827137939066,0.19444220352544547,High
7495-9102,12-129609,0.0289841,0.802,0.802,100.2,5.41409251979424,3,1,2,10.185,10.387,0.371,0.020642,59.491,0.2019999999999999,10.201,10.378,0.335,0.02042,59.491,0.1769999999999996,9.978313844512478,10.315854,85.93442,0.9446057,0.702952,4.80898,4226,3.253689896722314,0.26111937452860895,0.24511937452860896,0.46780553001613173,0.13026537452860962,Low
7495-3703,12-110756,0.0285104,0.823,0.823,65.7,3.3208504368894785,3,1,0,9.626,9.626,0.0,0.051651,79.537,0.0,9.637,9.637,0.0,0.050747,83.393,0.0,9.284523223079823,9.622064,42.732788,0.92922497,0.310257,5.02675,10,1.9642290680256902,-0.005876494192684506,-0.016876494192685446,0.3356002827274918,-0.0019404941926849714,Low
7815-3702,1-113540,0.0293823,0.573,0.573,84.9,4.470276529694416,1,1,0,10.087,10.178,0.188,0.032479,36.696,0.091000000000001,9.994,10.215,0.398,0.029103,36.69,0.221,10.007034745260038,10.344575,80.814545,1.1618696,0.889156,3.77495,1216,2.7220852703271063,0.2282897052964098,0.3212897052964098,0.308254960036372,-0.029285294703591126,Low
7815-9101,1-113375,0.028215,0.806,0.806,79.8,8.495472857009752,3,1,2,9.814,10.384,0.731,0.02803,59.491,0.5700000000000003,9.703,10.384,0.791,0.027679,59.509,0.6810000000000009,9.679288863783018,10.0168295,49.055336,0.9007767,0.570455,8.96766,4288,4.974647759991826,0.32954376004848474,0.4405437600484854,0.4642548962654667,0.12671426004848482,Low
7815-12704,1-113418,0.0430806,0.802,0.802,140.8,6.045073804309394,3,1,0,10.71,10.745,0.078,0.029597,75.114,0.0349999999999983,10.667,10.737,0.147,0.0293,74.961,0.0700000000000002,10.448369263175575,10.78591,104.42287,0.99361104,0.456991,7.31411,512,5.308899785981143,0.118004693676247,0.16100469367624792,0.37963543050067267,0.04209469367624834,Mid
