eps_zz,cutset,relax,E_H4_eV,E_H5_eV,notes
-0.00500,cut1,False,,,
-0.00250,cut1,False,,,
0.00000,cut1,False,,,REFERENCE POINT - benchmark against Delta_0=63 meV BEFORE trusting any other row
0.00250,cut1,False,,,
0.00500,cut1,False,,,
-0.00500,cut2,False,,,
-0.00250,cut2,False,,,
0.00000,cut2,False,,,
0.00250,cut2,False,,,
0.00500,cut2,False,,,
-0.00500,cut1,True,,,relaxed-ion companion
-0.00250,cut1,True,,,relaxed-ion companion
0.00000,cut1,True,,,relaxed-ion companion
0.00250,cut1,True,,,relaxed-ion companion
0.00500,cut1,True,,,relaxed-ion companion
